player_name,receptions_over_line,receptions_over_odds,receptions_under_line,receptions_under_odds,timestamp,rec_yards_over_line,rec_yards_over_odds,rec_yards_under_line,rec_yards_under_odds,timestamp,rec_tds_over_line,rec_tds_over_odds,rec_tds_under_line,rec_tds_under_odds,timestamp,rush_yards_over_line,rush_yards_over_odds,rush_yards_under_line,rush_yards_under_odds,timestamp,rush_tds_over_line,rush_tds_over_odds,rush_tds_under_line,rush_tds_under_odds,timestamp,pass_yards_over_line,pass_yards_over_odds,pass_yards_under_line,pass_yards_under_odds,timestamp,pass_tds_over_line,pass_tds_over_odds,pass_tds_under_line,pass_tds_under_odds,timestamp,qb_ints_over_line,qb_ints_over_odds,qb_ints_under_line,qb_ints_under_odds,timestamp
AJ Brown,75.5,-110,75.5,-110,2023-08-16 18:17:55.145871,1050.5,-110,1050.5,-110,2023-08-16 18:18:06.639870,7.5,-120,7.5,+100,2023-08-16 18:18:15.558373,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Aiyuk,59.5,-110,59.5,-110,2023-08-16 18:17:55.145871,775.5,-120,775.5,+100,2023-08-16 18:18:06.639870,4.5,-110,4.5,-110,2023-08-16 18:18:15.558373,,,,,,,,,,,,,,,,,,,,,,,,,
Marquez Valdes-Scantling,40.5,-120,40.5,+100,2023-08-16 18:17:55.145871,625.5,-130,625.5,+105,2023-08-16 18:18:06.639870,3.5,-110,3.5,-110,2023-08-16 18:18:15.558373,,,,,,,,,,,,,,,,,,,,,,,,,
Alec Pierce,42.5,-110,42.5,-110,2023-08-16 18:17:55.145871,575.5,-110,575.5,-110,2023-08-16 18:18:06.639870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Thielen,55.5,+100,55.5,-120,2023-08-16 18:17:55.145871,550.5,+100,550.5,-120,2023-08-16 18:18:06.639870,4.5,+110,4.5,-130,2023-08-16 18:18:15.558373,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Lazard,52.5,-110,52.5,-110,2023-08-16 18:17:55.145871,650.5,-110,650.5,-110,2023-08-16 18:18:06.639870,4.5,-110,4.5,-110,2023-08-16 18:18:15.558373,,,,,,,,,,,,,,,,,,,,,,,,,
Amari Cooper,72.5,-110,72.5,-110,2023-08-16 18:17:55.145871,950.5,-105,950.5,-115,2023-08-16 18:18:06.639870,6.5,-110,6.5,-110,2023-08-16 18:18:15.558373,,,,,,,,,,,,,,,,,,,,,,,,,
Brandin Cooks,62.5,+100,62.5,-120,2023-08-16 18:17:55.145871,775.5,-110,775.5,-110,2023-08-16 18:18:06.639870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amon-Ra St Brown,95.5,-110,95.5,-110,2023-08-16 18:17:55.145871,1050.5,-115,1050.5,-105,2023-08-16 18:18:06.639870,5.5,-125,5.5,+105,2023-08-16 18:18:15.558373,,,,,,,,,,,,,,,,,,,,,,,,,
CeeDee Lamb,95.5,-110,95.5,-110,2023-08-16 18:17:55.145871,1100.5,-110,1100.5,-110,2023-08-16 18:18:06.639870,7.5,-120,7.5,+100,2023-08-16 18:18:15.558373,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Ridley,70.5,-110,70.5,-110,2023-08-16 18:17:55.145871,900.5,-110,900.5,-110,2023-08-16 18:18:06.639870,6.5,+120,6.5,-140,2023-08-16 18:18:15.558373,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Godwin,80.5,-110,80.5,-110,2023-08-16 18:17:55.145871,800.5,-130,800.5,+110,2023-08-16 18:18:06.639870,4.5,-130,4.5,+105,2023-08-16 18:18:15.558373,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Olave,75.5,-110,75.5,-110,2023-08-16 18:17:55.145871,1050.5,-105,1050.5,-115,2023-08-16 18:18:06.639870,5.5,+100,5.5,-120,2023-08-16 18:18:15.558373,,,,,,,,,,,,,,,,,,,,,,,,,
