Player,Position,4for4 Proj,Overall Rank,Position Rank,My Proj,Projected Fantasy Points
Justin Jefferson,WR,281.473,1,1,243.8,243.8
Cooper Kupp,WR,259.869,2,2,240.6,240.6
Travis Kelce,TE,206.93,3,1,219.8,219.8
Austin Ekeler,RB,263.707,4,1,270.55,270.55
Ja'Marr Chase,WR,237.39,5,3,238.3,238.3
Nick Chubb,RB,257.068,6,3,214.05,214.05
CeeDee Lamb,WR,222.58,7,6,212.8,212.8
Jalen Hurts,QB,355.578,8,1,351.4,351.4
Christian McCaffrey,RB,257.886,9,2,251.55,251.55
Derrick Henry,RB,244.511,10,5,228.05,228.05
Tyreek Hill,WR,224.638,11,4,226.3,226.3
Tony Pollard,RB,242.517,12,6,225.55,225.55
Bijan Robinson,RB,247.905,13,4,226.75,226.75
Patrick Mahomes,QB,347.888,14,2,355.3,355.3
Josh Allen,QB,336.785,15,3,352.07,352.07
Saquon Barkley,RB,239.223,16,7,220.05,220.05
Mark Andrews,TE,179.592,17,2,158.05,158.05
Jonathan Taylor,RB,226.36,18,8,#N/A,205.9876
AJ Brown,WR,211.797,19,7,187.8,187.8
Stefon Diggs,WR,223.789,20,5,213.3,213.3
Jaylen Waddle,WR,210.3,21,8,195.3,195.3
Lamar Jackson,QB,318.399,22,4,309.5,309.5
Jahmyr Gibbs,RB,203.101,23,10,#N/A,184.82191
Davante Adams,WR,209.436,24,9,#N/A,190.58676
Josh Jacobs,RB,199.461,25,12,#N/A,181.50951
Amon-Ra St Brown,WR,192.697,26,10,198.3,198.3
T.J. Hockenson,TE,148.68,27,3,#N/A,135.2988
George Kittle,TE,145.252,28,4,134.3,134.3
Justin Fields,QB,315.711,29,6,273,273
Joe Burrow,QB,316.34,30,5,316.3,316.3
Miles Sanders,RB,197.862,31,16,131.55,131.55
Breece Hall,RB,198.809,32,13,#N/A,180.91619
Alexander Mattison,RB,197.948,33,15,129.05,129.05
Daniel Jones,QB,289.462,34,10,240.3,240.3
Chris Olave,WR,175.928,35,12,175.8,175.8
Justin Herbert,QB,301.793,36,7,305.8,305.8
Trevor Lawrence,QB,300.378,37,8,279.2,279.2
Tee Higgins,WR,167.144,38,14,174.3,174.3
Joe Mixon,RB,196.382,39,17,127.55,127.55
